"OrderID","CustomerID","EmployeeID","ShipVia"
"10365","ANTON","3","2"
"10366","GALED","8","2"
"10367","VAFFE","7","3"
"10368","ERNSH","2","2"
"10369","SPLIR","8","2"
"10370","CHOPS","6","2"
"10371","LAMAI","1","1"
"10372","QUEEN","5","2"
"10373","HUNGO","4","3"
"10374","WOLZA","1","3"
"10375","HUNGC","3","2"
"10376","MEREP","1","2"
"10377","SEVES","1","3"
"10378","FOLKO","5","3"
"10379","QUEDE","2","1"
"10380","HUNGO","8","3"
"10381","LILAS","3","3"
"10382","ERNSH","4","1"
"10383","AROUT","8","3"
"10384","BERGS","3","3"
"10385","SPLIR","1","2"
"10386","FAMIA","9","3"
"10387","SANTG","1","2"
"10388","SEVES","2","1"
"10389","BOTTM","4","2"
"10390","ERNSH","6","1"
"10391","DRACD","3","3"
"10392","PICCO","2","3"
"10393","SAVEA","1","3"
"10394","HUNGC","1","3"
"10395","HILAA","6","1"
"10396","FRANK","1","3"
"10397","PRINI","5","1"
"10398","SAVEA","2","3"
"10399","VAFFE","8","3"
"10400","EASTC","1","3"
"10401","RATTC","1","1"
"10402","ERNSH","8","2"
"10403","ERNSH","4","3"
"10404","MAGAA","2","1"
"10405","LINOD","1","1"
"10406","QUEEN","7","1"
"10407","OTTIK","2","2"
"10408","FOLIG","8","1"
"10409","OCEAN","3","1"
"10410","BOTTM","3","3"
"10411","BOTTM","9","3"
"10412","WARTH","8","2"
"10413","LAMAI","3","2"
"10414","FAMIA","2","3"
"10415","HUNGC","3","1"
"10416","WARTH","8","3"
"10417","SIMOB","4","3"
"10418","QUICK","4","1"
"10419","RICSU","4","2"
"10420","WELLI","3","1"
"10421","QUEDE","8","1"
"10422","FRANS","2","1"
"10423","GOURL","6","3"
"10424","MEREP","7","2"
"10425","LAMAI","6","2"
"10426","GALED","4","1"
"10427","PICCO","4","2"
"10428","REGGC","7","1"
"10429","HUNGO","3","2"
"10430","ERNSH","4","1"
"10431","BOTTM","4","2"
"10432","SPLIR","3","2"
"10433","PRINI","3","3"
"10434","FOLKO","3","2"
"10435","CONSH","8","2"
"10436","BLONP","3","2"
"10437","WARTH","8","1"
"10438","TOMSP","3","2"
"10439","MEREP","6","3"
"10440","SAVEA","4","2"
"10441","OLDWO","3","2"
"10442","ERNSH","3","2"
"10443","REGGC","8","1"
"10444","BERGS","3","3"
"10445","BERGS","3","1"
"10446","TOMSP","6","1"
"10447","RICAR","4","2"
"10448","RANCH","4","2"
"10449","BLONP","3","2"
"10450","VICTE","8","2"
"10451","QUICK","4","3"
"10452","SAVEA","8","1"
"10453","AROUT","1","2"
"10454","LAMAI","4","3"
"10455","WARTH","8","2"
"10456","KOENE","8","2"
"10457","KOENE","2","1"
"10458","SUPRD","7","3"
"10459","VICTE","4","2"
"10460","FOLKO","8","1"
"10461","LILAS","1","3"
"10462","CONSH","2","1"
"10463","SUPRD","5","3"
"10464","FURIB","4","2"
"10465","VAFFE","1","3"
"10466","COMMI","4","1"
"10467","MAGAA","8","2"
"10468","KOENE","3","3"
"10469","WHITC","1","1"
"10470","BONAP","4","2"
"10471","BSBEV","2","3"
"10472","SEVES","8","1"
"10473","ISLAT","1","3"
"10474","PERIC","5","2"
"10475","SUPRD","9","1"
"10476","HILAA","8","3"
"10477","PRINI","5","2"
"10478","VICTE","2","3"
"10479","RATTC","3","3"
"10480","FOLIG","6","2"
"10481","RICAR","8","2"
"10482","LAZYK","1","3"
"10483","WHITC","7","2"
"10484","BSBEV","3","3"
"10485","LINOD","4","2"
"10486","HILAA","1","2"
"10487","QUEEN","2","2"
"10488","FRANK","8","2"
"10489","PICCO","6","2"
"10490","HILAA","7","2"
"10491","FURIB","8","3"
"10492","BOTTM","3","1"
"10493","LAMAI","4","3"
"10494","COMMI","4","2"
"10495","LAUGB","3","3"
"10496","TRADH","7","2"
"10497","LEHMS","7","1"
"10498","HILAA","8","2"
"10499","LILAS","4","2"
"10500","LAMAI","6","1"
"10501","BLAUS","9","3"
"10502","PERIC","2","1"
"10503","HUNGO","6","2"
"10504","WHITC","4","3"
"10505","MEREP","3","3"
"10506","KOENE","9","2"
"10507","ANTON","7","1"
"10508","OTTIK","1","2"
"10509","BLAUS","4","1"
"10510","SAVEA","6","3"
"10511","BONAP","4","3"
"10512","FAMIA","7","2"
"10513","WANDK","7","1"
"10514","ERNSH","3","2"
"10515","QUICK","2","1"
"10516","HUNGO","2","3"
"10517","NORTS","3","3"
"10518","TORTU","4","2"
"10519","CHOPS","6","3"
"10520","SANTG","7","1"
"10521","CACTU","8","2"
"10522","LEHMS","4","1"
"10523","SEVES","7","2"
"10524","BERGS","1","2"
"10525","BONAP","1","2"
"10526","WARTH","4","2"
"10527","QUICK","7","1"
"10528","GREAL","6","2"
"10529","MAISD","5","2"
"10530","PICCO","3","2"
"10531","OCEAN","7","1"
"10532","EASTC","7","3"
"10533","FOLKO","8","1"
"10534","LEHMS","8","2"
"10535","ANTON","4","1"
"10536","LEHMS","3","2"
"10537","RICSU","1","1"
"10538","BSBEV","9","3"
"10539","BSBEV","6","3"
"10540","QUICK","3","3"
"10541","HANAR","2","1"
"10542","KOENE","1","3"
"10543","LILAS","8","2"
"10544","LONEP","4","1"
"10545","LAZYK","8","2"
"10546","VICTE","1","3"
"10547","SEVES","3","2"
"10548","TOMSP","3","2"
"10549","QUICK","5","1"
"10550","GODOS","7","3"
"10551","FURIB","4","3"
"10552","HILAA","2","1"
"10553","WARTH","2","2"
"10554","OTTIK","4","3"
"10555","SAVEA","6","3"
"10556","SIMOB","2","1"
"10557","LEHMS","9","2"
"10558","AROUT","1","2"
"10559","BLONP","6","1"
"10560","FRANK","8","1"
"10561","FOLKO","2","2"
"10562","REGGC","1","1"
"10563","RICAR","2","2"
"10564","RATTC","4","3"
"10565","MEREP","8","2"
"10566","BLONP","9","1"
"10567","HUNGO","1","1"
"10568","GALED","3","3"
"10569","RATTC","5","1"
"10570","MEREP","3","3"
"10571","ERNSH","8","3"
"10572","BERGS","3","2"
"10573","ANTON","7","3"
"10574","TRAIH","4","2"
"10575","MORGK","5","1"
"10576","TORTU","3","3"
"10577","TRAIH","9","2"
"10578","BSBEV","4","3"
"10579","LETSS","1","2"
"10580","OTTIK","4","3"
"10581","FAMIA","3","1"
"10582","BLAUS","3","2"
"10583","WARTH","2","2"
"10584","BLONP","4","1"
"10585","WELLI","7","1"
"10586","REGGC","9","1"
"10587","QUEDE","1","1"
"10588","QUICK","2","3"
"10589","GREAL","8","2"
"10590","MEREP","4","3"
"10591","VAFFE","1","1"
"10592","LEHMS","3","1"
"10593","LEHMS","7","2"
"10594","OLDWO","3","2"
"10595","ERNSH","2","1"
"10596","WHITC","8","1"
"10597","PICCO","7","3"
"10598","RATTC","1","3"
"10599","BSBEV","6","3"
"10600","HUNGC","4","1"
"10601","HILAA","7","1"
"10602","VAFFE","8","2"
"10603","SAVEA","8","2"
"10604","FURIB","1","1"
"10605","MEREP","1","2"
"10606","TRADH","4","3"
"10607","SAVEA","5","1"
"10608","TOMSP","4","2"
"10609","DUMON","7","2"
"10610","LAMAI","8","1"
"10611","WOLZA","6","2"
"10612","SAVEA","1","2"
"10613","HILAA","4","2"
"10614","BLAUS","8","3"
"10615","WILMK","2","3"
"10616","GREAL","1","2"
"10617","GREAL","4","2"
"10618","MEREP","1","1"
"10619","MEREP","3","3"
"10620","LAUGB","2","3"
"10621","ISLAT","4","2"
"10622","RICAR","4","3"
"10623","FRANK","8","2"
"10624","THECR","4","2"
"10625","ANATR","3","1"
"10626","BERGS","1","2"
"10627","SAVEA","8","3"
"10628","BLONP","4","3"
"10629","GODOS","4","3"
"10630","KOENE","1","2"
"10631","LAMAI","8","1"
"10632","WANDK","8","1"
"10633","ERNSH","7","3"
"10634","FOLIG","4","3"
"10635","MAGAA","8","3"
"10636","WARTH","4","1"
"10637","QUEEN","6","1"
"10638","LINOD","3","1"
"10639","SANTG","7","3"
"10640","WANDK","4","1"
"10641","HILAA","4","2"
"10642","SIMOB","7","3"
"10643","ALFKI","6","1"
"10644","WELLI","3","2"
"10645","HANAR","4","1"
"10646","HUNGO","9","3"
"10647","QUEDE","4","2"
"10648","RICAR","5","2"
"10649","MAISD","5","3"
"10650","FAMIA","5","3"
"10651","WANDK","8","2"
"10652","GOURL","4","2"
"10653","FRANK","1","1"
"10654","BERGS","5","1"
"10655","REGGC","1","2"
"10656","GREAL","6","1"
"10657","SAVEA","2","2"
"10658","QUICK","4","1"
"10659","QUEEN","7","2"
"10660","HUNGC","8","1"
"10661","HUNGO","7","3"
"10662","LONEP","3","2"
"10663","BONAP","2","2"
"10664","FURIB","1","3"
"10665","LONEP","1","2"
"10666","RICSU","7","2"
"10667","ERNSH","7","1"
"10668","WANDK","1","2"
"10669","SIMOB","2","1"
"10670","FRANK","4","1"
"10671","FRANR","1","1"
"10672","BERGS","9","2"
"10673","WILMK","2","1"
"10674","ISLAT","4","2"
"10675","FRANK","5","2"
"10676","TORTU","2","2"
"10677","ANTON","1","3"
"10678","SAVEA","7","3"
"10679","BLONP","8","3"
"10680","OLDWO","1","1"
"10681","GREAL","3","3"
"10682","ANTON","3","2"
"10683","DUMON","2","1"
"10684","OTTIK","3","1"
"10685","GOURL","4","2"
"10686","PICCO","2","1"
"10687","HUNGO","9","2"
"10688","VAFFE","4","2"
"10689","BERGS","1","2"
"10690","HANAR","1","1"
"10691","QUICK","2","2"
"10692","ALFKI","4","2"
"10693","WHITC","3","3"
"10694","QUICK","8","3"
"10695","WILMK","7","1"
"10696","WHITC","8","3"
"10697","LINOD","3","1"
"10698","ERNSH","4","1"
"10699","MORGK","3","3"
"10700","SAVEA","3","1"
"10701","HUNGO","6","3"
"10702","ALFKI","4","1"
"10703","FOLKO","6","2"
"10704","QUEEN","6","1"
"10705","HILAA","9","2"
"10706","OLDWO","8","3"
"10707","AROUT","4","3"
"10708","THEBI","6","2"
"10709","GOURL","1","3"
"10710","FRANS","1","1"
"10711","SAVEA","5","2"
"10712","HUNGO","3","1"
"10713","SAVEA","1","1"
"10714","SAVEA","5","3"
"10715","BONAP","3","1"
"10716","RANCH","4","2"
"10717","FRANK","1","2"
"10718","KOENE","1","3"
"10719","LETSS","8","2"
"10720","QUEDE","8","2"
"10721","QUICK","5","3"
"10722","SAVEA","8","1"
"10723","WHITC","3","1"
"10724","MEREP","8","2"
"10725","FAMIA","4","3"
"10726","EASTC","4","1"
"10727","REGGC","2","1"
"10728","QUEEN","4","2"
"10729","LINOD","8","3"
"10730","BONAP","5","1"
"10731","CHOPS","7","1"
"10732","BONAP","3","1"
"10733","BERGS","1","3"
"10734","GOURL","2","3"
"10735","LETSS","6","2"
"10736","HUNGO","9","2"
"10737","VINET","2","2"
"10738","SPECD","2","1"
"10739","VINET","3","3"
"10740","WHITC","4","2"
"10741","AROUT","4","3"
"10742","BOTTM","3","3"
"10743","AROUT","1","2"
"10744","VAFFE","6","1"
"10745","QUICK","9","1"
"10746","CHOPS","1","3"
"10747","PICCO","6","1"
"10748","SAVEA","3","1"
"10749","ISLAT","4","2"
"10750","WARTH","9","1"
"10751","RICSU","3","3"
"10752","NORTS","2","3"
"10753","FRANS","3","1"
"10754","MAGAA","6","3"
"10755","BONAP","4","2"
"10756","SPLIR","8","2"
"10757","SAVEA","6","1"
"10758","RICSU","3","3"
"10759","ANATR","3","3"
"10760","MAISD","4","1"
"10761","RATTC","5","2"
"10762","FOLKO","3","1"
"10763","FOLIG","3","3"
"10764","ERNSH","6","3"
"10765","QUICK","3","3"
"10766","OTTIK","4","1"
"10767","SUPRD","4","3"
"10768","AROUT","3","2"
"10769","VAFFE","3","1"
"10770","HANAR","8","3"
"10771","ERNSH","9","2"
"10772","LEHMS","3","2"
"10773","ERNSH","1","3"
"10774","FOLKO","4","1"
"10775","THECR","7","1"
"10776","ERNSH","1","3"
"10777","GOURL","7","2"
"10778","BERGS","3","1"
"10779","MORGK","3","2"
"10780","LILAS","2","1"
"10781","WARTH","2","3"
"10782","CACTU","9","3"
"10783","HANAR","4","2"
"10784","MAGAA","4","3"
"10785","GROSR","1","3"
"10786","QUEEN","8","1"
"10787","LAMAI","2","1"
"10788","QUICK","1","2"
"10789","FOLIG","1","2"
"10790","GOURL","6","1"
"10791","FRANK","6","2"
"10792","WOLZA","1","3"
"10793","AROUT","3","3"
"10794","QUEDE","6","1"
"10795","ERNSH","8","2"
"10796","HILAA","3","1"
"10797","DRACD","7","2"
"10798","ISLAT","2","1"
"10799","KOENE","9","3"
"10800","SEVES","1","3"
"10801","BOLID","4","2"
"10802","SIMOB","4","2"
"10803","WELLI","4","1"
"10804","SEVES","6","2"
"10805","THEBI","2","3"
"10806","VICTE","3","2"
"10807","FRANS","4","1"
"10808","OLDWO","2","3"
"10809","WELLI","7","1"
"10810","LAUGB","2","3"
"10811","LINOD","8","1"
"10812","REGGC","5","1"
"10813","RICAR","1","1"
"10814","VICTE","3","3"
"10815","SAVEA","2","3"
"10816","GREAL","4","2"
"10817","KOENE","3","2"
"10818","MAGAA","7","3"
"10819","CACTU","2","3"
"10820","RATTC","3","2"
"10821","SPLIR","1","1"
"10822","TRAIH","6","3"
"10823","LILAS","5","2"
"10824","FOLKO","8","1"
"10825","DRACD","1","1"
"10826","BLONP","6","1"
"10827","BONAP","1","2"
"10828","RANCH","9","1"
"10829","ISLAT","9","1"
"10830","TRADH","4","2"
"10831","SANTG","3","2"
"10832","LAMAI","2","2"
"10833","OTTIK","6","2"
"10834","TRADH","1","3"
"10835","ALFKI","1","3"
"10836","ERNSH","7","1"
"10837","BERGS","9","3"
"10838","LINOD","3","3"
"10839","TRADH","3","3"
"10840","LINOD","4","2"
"10841","SUPRD","5","2"
"10842","TORTU","1","3"
"10843","VICTE","4","2"
"10844","PICCO","8","2"
"10845","QUICK","8","1"
"10846","SUPRD","2","3"
"10847","SAVEA","4","3"
"10848","CONSH","7","2"
"10849","KOENE","9","2"
"10850","VICTE","1","1"
"10851","RICAR","5","1"
"10852","RATTC","8","1"
"10853","BLAUS","9","2"
"10854","ERNSH","3","2"
"10855","OLDWO","3","1"
"10856","ANTON","3","2"
"10857","BERGS","8","2"
"10858","LACOR","2","1"
"10859","FRANK","1","2"
"10860","FRANR","3","3"
"10861","WHITC","4","2"
"10862","LEHMS","8","2"
"10863","HILAA","4","2"
"10864","AROUT","4","2"
"10865","QUICK","2","1"
"10866","BERGS","5","1"
"10867","LONEP","6","1"
"10868","QUEEN","7","2"
"10869","SEVES","5","1"
"10870","WOLZA","5","3"
"10871","BONAP","9","2"
"10872","GODOS","5","2"
"10873","WILMK","4","1"
"10874","GODOS","5","2"
"10875","BERGS","4","2"
"10876","BONAP","7","3"
"10877","RICAR","1","1"
"10878","QUICK","4","1"
"10879","WILMK","3","3"
"10880","FOLKO","7","1"
"10881","CACTU","4","1"
"10882","SAVEA","4","3"
"10883","LONEP","8","3"
"10884","LETSS","4","2"
"10885","SUPRD","6","3"
"10886","HANAR","1","1"
"10887","GALED","8","3"
"10888","GODOS","1","2"
"10889","RATTC","9","3"
"10890","DUMON","7","1"
"10891","LEHMS","7","2"
"10892","MAISD","4","2"
"10893","KOENE","9","2"
"10894","SAVEA","1","1"
"10895","ERNSH","3","1"
"10896","MAISD","7","3"
"10897","HUNGO","3","2"
"10898","OCEAN","4","2"
"10899","LILAS","5","3"
"10900","WELLI","1","2"
"10901","HILAA","4","1"
"10902","FOLKO","1","1"
"10903","HANAR","3","3"
"10904","WHITC","3","3"
"10905","WELLI","9","2"
"10906","WOLZA","4","3"
"10907","SPECD","6","3"
"10908","REGGC","4","2"
"10909","SANTG","1","2"
"10910","WILMK","1","3"
"10911","GODOS","3","1"
"10912","HUNGO","2","2"
"10913","QUEEN","4","1"
"10914","QUEEN","6","1"
"10915","TORTU","2","2"
"10916","RANCH","1","2"
"10917","ROMEY","4","2"
"10918","BOTTM","3","3"
"10919","LINOD","2","2"
"10920","AROUT","4","2"
"10921","VAFFE","1","1"
"10922","HANAR","5","3"
"10923","LAMAI","7","3"
"10924","BERGS","3","2"
"10925","HANAR","3","1"
"10926","ANATR","4","3"
"10927","LACOR","4","1"
"10928","GALED","1","1"
"10929","FRANK","6","1"
"10930","SUPRD","4","3"
"10931","RICSU","4","2"
"10932","BONAP","8","1"
"10933","ISLAT","6","3"
"10934","LEHMS","3","3"
"10935","WELLI","4","3"
"10936","GREAL","3","2"
"10937","CACTU","7","3"
"10938","QUICK","3","2"
"10939","MAGAA","2","2"
"10940","BONAP","8","3"
"10941","SAVEA","7","2"
"10942","REGGC","9","3"
"10943","BSBEV","4","2"
"10944","BOTTM","6","3"
"10945","MORGK","4","1"
"10946","VAFFE","1","2"
"10947","BSBEV","3","2"
"10948","GODOS","3","3"
"10949","BOTTM","2","3"
"10950","MAGAA","1","2"
"10951","RICSU","9","2"
"10952","ALFKI","1","1"
"10953","AROUT","9","2"
"10954","LINOD","5","1"
"10955","FOLKO","8","2"
"10956","BLAUS","6","2"
"10957","HILAA","8","3"
"10958","OCEAN","7","2"
"10959","GOURL","6","2"
"10960","HILAA","3","1"
"10961","QUEEN","8","1"
"10962","QUICK","8","2"
"10963","FURIB","9","3"
"10964","SPECD","3","2"
"10965","OLDWO","6","3"
"10966","CHOPS","4","1"
"10967","TOMSP","2","2"
"10968","ERNSH","1","3"
"10969","COMMI","1","2"
"10970","BOLID","9","1"
"10971","FRANR","2","2"
"10972","LACOR","4","2"
"10973","LACOR","6","2"
"10974","SPLIR","3","3"
"10975","BOTTM","1","3"
"10976","HILAA","1","1"
"10977","FOLKO","8","3"
"10978","MAISD","9","2"
"10979","ERNSH","8","2"
"10980","FOLKO","4","1"
"10981","HANAR","1","2"
"10982","BOTTM","2","1"
"10983","SAVEA","2","2"
"10984","SAVEA","1","3"
"10985","HUNGO","2","1"
"10986","OCEAN","8","2"
"10987","EASTC","8","1"
"10988","RATTC","3","2"
"10989","QUEDE","2","1"
"10990","ERNSH","2","3"
"10991","QUICK","1","1"
"10992","THEBI","1","3"
"10993","FOLKO","7","3"
"10994","VAFFE","2","3"
"10995","PERIC","1","3"
"10996","QUICK","4","2"
"10997","LILAS","8","2"
"10998","WOLZA","8","2"
"10999","OTTIK","6","2"
"11000","RATTC","2","3"
"11001","FOLKO","2","2"
"11002","SAVEA","4","1"
"11003","THECR","3","3"
"11004","MAISD","3","1"
"11005","WILMK","2","1"
"11006","GREAL","3","2"
"11007","PRINI","8","2"
"11008","ERNSH","7","3"
"11009","GODOS","2","1"
"11010","REGGC","2","2"
"11011","ALFKI","3","1"
"11012","FRANK","1","3"
"11013","ROMEY","2","1"
"11014","LINOD","2","3"
"11015","SANTG","2","2"
"11016","AROUT","9","2"
"11017","ERNSH","9","2"
"11018","LONEP","4","2"
"11019","RANCH","6","3"
"11020","OTTIK","2","2"
"11021","QUICK","3","1"
"11022","HANAR","9","2"
"11023","BSBEV","1","2"
"11024","EASTC","4","1"
"11025","WARTH","6","3"
"11026","FRANS","4","1"
"11027","BOTTM","1","1"
"11028","KOENE","2","1"
"11029","CHOPS","4","1"
"11030","SAVEA","7","2"
"11031","SAVEA","6","2"
"11032","WHITC","2","3"
"11033","RICSU","7","3"
"11034","OLDWO","8","1"
"11035","SUPRD","2","2"
"11036","DRACD","8","3"
"11037","GODOS","7","1"
"11038","SUPRD","1","2"
"11039","LINOD","1","2"
"11040","GREAL","4","3"
"11041","CHOPS","3","2"
"11042","COMMI","2","1"
"11043","SPECD","5","2"
"11044","WOLZA","4","1"
"11045","BOTTM","6","2"
"11046","WANDK","8","2"
"11047","EASTC","7","3"
"11048","BOTTM","7","3"
"11049","GOURL","3","1"
"11050","FOLKO","8","2"
"11051","LAMAI","7","3"
"11052","HANAR","3","1"
"11053","PICCO","2","2"
"11054","CACTU","8","1"
"11055","HILAA","7","2"
"11056","EASTC","8","2"
"11057","NORTS","3","3"
"11058","BLAUS","9","3"
"11059","RICAR","2","2"
"11060","FRANS","2","2"
"11061","GREAL","4","3"
"11062","REGGC","4","2"
"11063","HUNGO","3","2"
"11064","SAVEA","1","1"
"11065","LILAS","8","1"
"11066","WHITC","7","2"
"11067","DRACD","1","2"
"11068","QUEEN","8","2"
"11069","TORTU","1","2"
"11070","LEHMS","2","1"
"11071","LILAS","1","1"
"11072","ERNSH","4","2"
"11073","PERIC","2","2"
"11074","SIMOB","7","2"
"11075","RICSU","8","2"
"11076","BONAP","4","2"
"11077","RATTC","1","2"
